SCIENTIFIC_NAME,order,Family,Diet,Foraging_behaviour,Foraging_substrate,Habitat,Nesting_site,Overall_specialization,urban_score,urban_score_sample,lists_in_range_urban_score,relative_urbanness
Cyanistes caeruleus,Passeriformes,Paridae,0.33333,0.33333,0.33333,0.33333,0.14286,0.078,2.2988739013671875,32445,1.6053375005722046,-0.7729181056355064
Cygnus cygnus,Anseriformes,Anatidae,1,0.5,0.25,0.5,0.33333,0.369,1.0193865299224854,4694,1.163466215133667,-1.1442652100282955
Cygnus olor,Anseriformes,Anatidae,1,0.5,0.25,1,0.33333,0.499,1.4385149478912354,13597,1.615957260131836,-1.2523459648720596
Delichon urbicum,Passeriformes,Hirundinidae,1,1,0.5,0.5,0.33333,0.565,2.987825870513916,37592,1.7467187643051147,-0.6521727749997679
Dendrocopos major,Piciformes,Picidae,0.5,0.25,0.5,0.33333,0.2,0.159,1.3597660064697266,12969,1.6528680324554443,-1.34555540157686
Dryocopus martius,Piciformes,Picidae,0.5,0.5,0.5,0.5,0.25,0.281,0.4928772747516632,990,1.368251919746399,-2.075746991270458
Egretta garzetta,Pelecaniformes,Ardeidae,0.33333,1,0.25,0.25,0.16667,0.216,2.0633597373962402,15243,1.7578048706054687,-1.0334692758594817
Elanus caeruleus,Accipitriformes,Accipitridae,0.5,0.5,0.5,0.2,0.33333,0.225,1.9758493900299072,592,1.576059341430664,-0.8950609646303431
Emberiza caesia,Passeriformes,Emberizidae,0.33333,1,1,0.5,0.5,0.565,0.416786789894104,131,1.5522003173828125,-2.427380800540096
Emberiza calandra,Passeriformes,Emberizidae,0.33333,1,1,1,0.5,0.695,0.39039987325668335,11496,1.5286874771118164,-2.469271226204958
Emberiza cia,Passeriformes,Emberizidae,0.33333,1,0.33333,0.5,0.25,0.324,0.32567110657691956,2602,1.2684081196784973,-2.390275402082314
Emberiza cirlus,Passeriformes,Emberizidae,0.33333,1,1,0.5,0.5,0.565,0.7437499761581421,4347,1.3261140584945679,-1.6221644126731456
Emberiza citrinella,Passeriformes,Emberizidae,0.33333,0.5,0.5,0.33333,0.16667,0.173,0.573235809803009,6493,1.528266429901123,-2.0847245413931756
Emberiza hortulana,Passeriformes,Emberizidae,0.33333,0.5,0.25,0.33333,0.14286,0.101,0.33136606216430664,1420,1.3519845008850098,-2.4565160875890957
Emberiza melanocephala,Passeriformes,Emberizidae,0.33333,0.5,0.33333,1,0.2,0.311,0.3670633137226105,1720,1.532409906387329,-2.5346308352388927
Emberiza schoeniclus,Passeriformes,Emberizidae,0.33333,0.25,0.25,0.33333,0.2,0.05,0.7088861465454102,5675,1.5914592742919922,-1.9355196227886053
Eremophila alpestris,Passeriformes,Alaudidae,0.5,1,0.5,1,0.5,0.608,0.2562499940395355,231,1.3553240299224854,-2.716925801712354
Erithacus rubecula,Passeriformes,Muscicapidae,0.25,0.33333,0.2,0.25,0.14286,0,1.9375026226043701,28022,1.7555482387542725,-1.0941484029075679
Falco columbarius,Falconiformes,Falconidae,1,0.5,0.5,1,0.33333,0.565,0.894497275352478,299,1.5194071531295776,-1.6309005751681633
Falco eleonorae,Falconiformes,Falconidae,0.5,0.5,0.25,0.5,0.33333,0.238,0.9453700184822083,324,1.1257381439208984,-1.1819170180971093
Falco naumanni,Falconiformes,Falconidae,1,0.5,0.5,0.5,0.25,0.412,0.67862701416015625,1723,1.2851529717445374,-1.6728365905037599
Falco peregrinus,Falconiformes,Falconidae,1,0.5,0.5,0.33333,0.5,0.434,1.0642266273498535,2133,1.7006535530090332,-1.6384051891403677
Falco subbuteo,Falconiformes,Falconidae,0.5,0.5,0.5,0.33333,0.2,0.225,0.9684642553329468,2909,1.60173761844635,-1.6337813225078053
Falco tinnunculus,Falconiformes,Falconidae,0.5,0.5,0.2,0.33333,0.16667,0.137,1.3541349172592163,17077,1.753366470336914,-1.4502036573402939
Falco vespertinus,Falconiformes,Falconidae,1,1,0.5,0.5,0.25,0.542,0.4170328378677368,403,1.6050410270690918,-2.4796313394686185
Ficedula albicollis,Passeriformes,Muscicapidae,0.5,0.33333,0.2,1,0.25,0.29,0.7461310029029846,326,1.1386300325393677,-1.4314841196263088
Ficedula hypoleuca,Passeriformes,Muscicapidae,0.33333,0.33333,0.2,0.33333,0.14286,0.044,1.4781076908111572,4043,1.6461584568023682,-1.2553957744062394
Ficedula parva,Passeriformes,Muscicapidae,0.5,0.33333,0.2,0.5,0.2,0.146,0.497397243976593,248,1.6484463214874268,-2.3468126099748923
Francolinus francolinus,Galliformes,Phasianidae,0.33333,1,0.33333,0.5,0.5,0.39,1.0462437868118286,131,1.7467187643051147,-1.7015123600323074
Fringilla coelebs,Passeriformes,Fringillidae,0.33333,0.33333,0.25,0.33333,0.11111,0.048,0.8827619254589081,40284,1.7612218856811523,-1.8859216205051978
Fringilla montifringilla,Passeriformes,Fringillidae,0.25,1,0.25,0.5,0.2,0.268,0.9798911809921265,860,1.5974429845809937,-1.617756737867841
Fulica atra,Gruiformes,Rallidae,0.2,1,0.2,1,0.33333,0.408,1.6637651920318604,20892,1.7555482387542725,-1.2464650168700633
Galerida cristata,Passeriformes,Alaudidae,0.33333,0.25,1,0.5,0.33333,0.324,0.808579683303833,11573,1.5884233713150024,-1.800899419174327
Galerida theklae,Passeriformes,Alaudidae,0.5,0.33333,0.5,0.5,0.25,0.238,0.2750290036201477,2537,1.3300281763076782,-2.6209068954749437
Gallinula chloropus,Gruiformes,Rallidae,0.16667,0.5,0.25,0.5,0.33333,0.15,2.9064269065856934,16074,1.6308900117874146,-0.563965552203205
Garrulus glandarius,Passeriformes,Corvidae,0.25,0.25,0.25,0.5,0.14286,0.058,1.4158243536949158,12292,1.6034204959869385,-1.2557085524102696
Gavia arctica,Gaviiformes,Gaviidae,1,1,0.5,1,0.5,0.739,0.8467307686805725,997,1.5105621814727783,-1.6769346809363326
